word,type_id,comptype_id,altcomp,altsup,category,createdAt,updatedAt
able,14,1,,,basic,now(),now()
acidic,5,2,,,basic,now(),now()
acrid,8,2,,,basic,now(),now()
adolescent,11,2,,,basic,now(),now()
all,1,4,,,basic,now(),now()
American,18,2,,,basic,now(),now()
ancient,11,2,,,basic,now(),now()
antique,11,2,,,basic,now(),now()
appetizing,5,2,,,basic,now(),now()
aromatic,8,2,,,basic,now(),now()
Australian,18,2,,,basic,now(),now()
available,14,2,,,basic,now(),now()
awful,2,2,,,basic,now(),now()
babyish,11,2,,,basic,now(),now()
bad,2,3,worse,worst,basic,now(),now()
belated,17,2,,,basic,now(),now()
big,7,1,,,basic,now(),now()
billion,1,4,,,basic,now(),now()
bitter,5,2,,,basic,now(),now()
black,16,1,,,basic,now(),now()
bland,5,1,,,basic,now(),now()
blaring,4,2,,,basic,now(),now()
blissful,3,2,,,basic,now(),now()
blobby,13,2,,,basic,now(),now()
blue,16,1,,,basic,now(),now()
brief,9,1,,,basic,now(),now()
bright,15,1,,,basic,now(),now()
brown,16,1,,,basic,now(),now()
bumpy,6,1,,,basic,now(),now()
burning,10,2,,,basic,now(),now()
burnt,8,2,,,basic,now(),now()
bustling,9,2,,,basic,now(),now()
busy,14,1,,,basic,now(),now()
bygone,11,2,,,basic,now(),now()
Canadian,18,2,,,basic,now(),now()
carefree,3,2,,,basic,now(),now()
central,18,2,,,basic,now(),now()
ceramic,19,2,,,basic,now(),now()
certain,14,2,,,basic,now(),now()
cheerful,3,2,,,basic,now(),now()
chilly,10,1,,,basic,now(),now()
china,19,4,,,basic,now(),now()
circular,13,2,,,basic,now(),now()
clean,2,1,,,basic,now(),now()
clear,2,1,,,basic,now(),now()
close,12,1,,,basic,now(),now()
closed ,14,4,,,basic,now(),now()
cloth,19,4,,,basic,now(),now()
coarse,6,1,,,basic,now(),now()
cold,10,1,,,basic,now(),now()
colorless,16,2,,,basic,now(),now()
comfortable,2,2,,,basic,now(),now()
common,2,2,,,basic,now(),now()
concrete,19,2,,,basic,now(),now()
cooking,20,2,,,basic,now(),now()
cotton,19,4,,,basic,now(),now()
crooked,13,2,,,basic,now(),now()
cultural,2,2,,,basic,now(),now()
current,17,2,,,basic,now(),now()
cylindrical,13,2,,,basic,now(),now()
dark,15,1,,,basic,now(),now()
dead,14,1,,,basic,now(),now()
deafening,4,2,,,basic,now(),now()
delayed,17,2,,,basic,now(),now()
delectable,5,2,,,basic,now(),now()
delicious,5,2,,,basic,now(),now()
democratic,14,2,,,basic,now(),now()
dense,7,1,,,basic,now(),now()
different,3,2,,,basic,now(),now()
difficult,2,2,,,basic,now(),now()
dirty,2,1,,,basic,now(),now()
distant,12,2,,,basic,now(),now()
distorted,13,2,,,basic,now(),now()
drab,15,1,,,basic,now(),now()
dry,14,1,,,basic,now(),now()
dull,15,1,,,basic,now(),now()
each,1,4,,,basic,now(),now()
early,17,1,,,basic,now(),now()
easy,3,1,,,basic,now(),now()
eight,1,4,,,basic,now(),now()
elated,3,2,,,basic,now(),now()
