word,type_id,category,createdAt(),updatedAt()
about,2,basic,now(),now()
actually,4,basic,now(),now()
again,5,basic,now(),now()
already,1,basic,now(),now()
always,5,basic,now(),now()
around,2,basic,now(),now()
badly,3,basic,now(),now()
beautifully,3,basic,now(),now()
clearly,3,basic,now(),now()
dolefully,3,basic,now(),now()
enough,4,basic,now(),now()
exactly,3,basic,now(),now()
forward,2,basic,now(),now()
happily,3,basic,now(),now()
hard,4,basic,now(),now()
home,2,basic,now(),now()
horrendously,3,basic,now(),now()
imperiously,3,basic,now(),now()
indeed,4,basic,now(),now()
little,5,basic,now(),now()
meticulously,3,basic,now(),now()
never,5,basic,now(),now()
often,5,basic,now(),now()
on,2,basic,now(),now()
over,2,basic,now(),now()
particularly,3,basic,now(),now()
perhaps,4,basic,now(),now()
pretty,4,basic,now(),now()
probably,4,basic,now(),now()
quickly,3,basic,now(),now()
rather,4,basic,now(),now()
really,4,basic,now(),now()
sadly,3,basic,now(),now()
selfishly,3,basic,now(),now()
selflessly,3,basic,now(),now()
slowly,3,basic,now(),now()
thus,4,basic,now(),now()
usually,5,basic,now(),now()
where,2,basic,now(),now()
why,4,basic,now(),now()
