word,type_id,createdAt,updatedAt
after,2,now(),now()
although,2,now(),now()
and,1,now(),now()
as,2,now(),now()
as far as,2,now(),now()
as if,2,now(),now()
as long as,2,now(),now()
as soon as,2,now(),now()
because,2,now(),now()
before,2,now(),now()
both|and,3,now(),now()
but,1,now(),now()
either|or,3,now(),now()
even if,2,now(),now()
for,1,now(),now()
how,2,now(),now()
if,2,now(),now()
in case,2,now(),now()
in that,2,now(),now()
neither|nor,3,now(),now()
no matter how,2,now(),now()
nor,1,now(),now()
not only|but also,3,now(),now()
now that,2,now(),now()
once,2,now(),now()
or,1,now(),now()
provided,2,now(),now()
since,2,now(),now()
so,1,now(),now()
so that,2,now(),now()
so|as,3,now(),now()
supposing,2,now(),now()
though,2,now(),now()
unless,2,now(),now()
until,2,now(),now()
when,2,now(),now()
where,2,now(),now()
wherever,2,now(),now()
whether,2,now(),now()
whether|or,3,now(),now()
while,2,now(),now()
yet,1,now(),now()
