word,createdAt(),updatedAt()
aha,now(),now()
ahem,now(),now()
ahh,now(),now()
ahoy,now(),now()
alas,now(),now()
aw,now(),now()
bam,now(),now()
bingo,now(),now()
blah,now(),now()
boo,now(),now()
bravo,now(),now()
brrr,now(),now()
cheers,now(),now()
congratulations,now(),now()
dang,now(),now()
darn,now(),now()
drat,now(),now()
duh,now(),now()
eek,now(),now()
eh,now(),now()
eureka,now(),now()
gadzooks,now(),now()
gee,now(),now()
golly,now(),now()
goodbye,now(),now()
goodness,now(),now()
gosh,now(),now()
ha,now(),now()
hallelujah,now(),now()
hello,now(),now()
hey,now(),now()
hmm,now(),now()
huh,now(),now()
hurray,now(),now()
oh,now(),now()
oops,now(),now()
ouch,now(),now()
ow,now(),now()
phew,now(),now()
phooey,now(),now()
pooh,now(),now()
pow,now(),now()
rats,now(),now()
right,now(),now()
shh,now(),now()
shoo,now(),now()
thanks,now(),now()
there,now(),now()
ugh,now(),now()
uh-huh,now(),now()
uh-oh,now(),now()
well,now(),now()
whoa,now(),now()
whoops,now(),now()
wow,now(),now()
yeah,now(),now()
yep,now(),now()
yikes,now(),now()
yippee,now(),now()
yo,now(),now()
yuck,now(),now()
yup,now(),now()
zowie,now(),now()
