word,isPlural,plural,category,createdAt(),updatedAt()
air,t,,basic,now(),now()
area,f,,basic,now(),now()
art,f,,basic,now(),now()
back,f,,basic,now(),now()
bench,f,,basic,now(),now()
body,f,,basic,now(),now()
book,f,,basic,now(),now()
box,f,,basic,now(),now()
business,f,,basic,now(),now()
car,f,,basic,now(),now()
case,f,,basic,now(),now()
cat,f,,basic,now(),now()
change,f,,basic,now(),now()
child,f,children,basic,now(),now()
chocolate,f,,basic,now(),now()
city,f,,basic,now(),now()
community,f,,basic,now(),now()
company,f,,basic,now(),now()
country,f,,basic,now(),now()
day,f,,basic,now(),now()
door,f,,basic,now(),now()
education,f,,basic,now(),now()
end,f,,basic,now(),now()
eye,f,,basic,now(),now()
face,f,,basic,now(),now()
fact,f,,basic,now(),now()
family,f,,basic,now(),now()
farmer,f,,basic,now(),now()
father,f,,basic,now(),now()
force,f,,basic,now(),now()
friend,f,,basic,now(),now()
game,f,,basic,now(),now()
girl,f,,basic,now(),now()
government,f,,basic,now(),now()
group,f,,basic,now(),now()
guy,f,,basic,now(),now()
hand,f,,basic,now(),now()
head,f,,basic,now(),now()
health,f,,basic,now(),now()
history,f,,basic,now(),now()
home,f,,basic,now(),now()
hour,f,,basic,now(),now()
house,f,,basic,now(),now()
idea,f,,basic,now(),now()
information,t,,basic,now(),now()
issue,f,,basic,now(),now()
job,f,,basic,now(),now()
kid,f,,basic,now(),now()
kind,f,,basic,now(),now()
law,f,,basic,now(),now()
level,f,,basic,now(),now()
life,f,,basic,now(),now()
line,f,,basic,now(),now()
lot,f,,basic,now(),now()
mama,f,,basic,now(),now()
man,f,men,basic,now(),now()
member,f,,basic,now(),now()
mesh,f,,basic,now(),now()
minute,f,,basic,now(),now()
moment,f,,basic,now(),now()
money,f,,basic,now(),now()
month,f,,basic,now(),now()
morning,f,,basic,now(),now()
mother,f,,basic,now(),now()
mouse,f,mice,basic,now(),now()
name,f,,basic,now(),now()
napalm,t,,basic,now(),now()
night,f,,basic,now(),now()
number,f,,basic,now(),now()
office,f,,basic,now(),now()
parent,f,,basic,now(),now()
part,f,,basic,now(),now()
party,f,,basic,now(),now()
people,f,,basic,now(),now()
person,f,,basic,now(),now()
place,f,,basic,now(),now()
point,f,,basic,now(),now()
power,f,,basic,now(),now()
president,f,,basic,now(),now()
problem,f,,basic,now(),now()
program,f,,basic,now(),now()
question,f,,basic,now(),now()
reason,f,,basic,now(),now()
research,t,,basic,now(),now()
result,f,,basic,now(),now()
right,f,,basic,now(),now()
room,f,,basic,now(),now()
school,f,,basic,now(),now()
service,f,,basic,now(),now()
side,f,,basic,now(),now()
smell,f,,basic,now(),now()
state,f,,basic,now(),now()
story,f,,basic,now(),now()
student,f,,basic,now(),now()
study,f,,basic,now(),now()
system,f,,basic,now(),now()
table,f,,basic,now(),now()
teacher,f,,basic,now(),now()
team,f,,basic,now(),now()
thing,f,,basic,now(),now()
time,f,,basic,now(),now()
tomorrow,f,,basic,now(),now()
urchin,f,,basic,now(),now()
vanilla,f,,basic,now(),now()
vegetable,f,,basic,now(),now()
war,f,,basic,now(),now()
water,f,,basic,now(),now()
way,f,,basic,now(),now()
week,f,,basic,now(),now()
woman,f,women,basic,now(),now()
word,f,,basic,now(),now()
work,f,,basic,now(),now()
world,f,,basic,now(),now()
year,f,,basic,now(),now()
