word,createdAt,updatedAt
aboard,now(),now()
about,now(),now()
above,now(),now()
across,now(),now()
after,now(),now()
against,now(),now()
along,now(),now()
amid,now(),now()
among,now(),now()
anti,now(),now()
around,now(),now()
as,now(),now()
at,now(),now()
before,now(),now()
behind,now(),now()
below,now(),now()
beneath,now(),now()
beside,now(),now()
besides,now(),now()
between,now(),now()
beyond,now(),now()
but,now(),now()
by,now(),now()
concerning,now(),now()
considering,now(),now()
despite,now(),now()
down,now(),now()
during,now(),now()
except,now(),now()
excepting,now(),now()
excluding,now(),now()
following,now(),now()
for,now(),now()
from,now(),now()
in,now(),now()
inside,now(),now()
into,now(),now()
like,now(),now()
minus,now(),now()
near,now(),now()
of,now(),now()
off,now(),now()
on,now(),now()
onto,now(),now()
opposite,now(),now()
outside,now(),now()
over,now(),now()
past,now(),now()
per,now(),now()
plus,now(),now()
regarding,now(),now()
round,now(),now()
save,now(),now()
since,now(),now()
than,now(),now()
through,now(),now()
to,now(),now()
toward,now(),now()
towards,now(),now()
under,now(),now()
underneath,now(),now()
unlike,now(),now()
until,now(),now()
up,now(),now()
upon,now(),now()
versus,now(),now()
via,now(),now()
with,now(),now()
within,now(),now()
without,now(),now()
