word,type1_id,type2_id,number_id,createdAt,updatedAt
all,3,,3,now(),now()
any,3,,3,now(),now()
anybody,3,,1,now(),now()
anyone,3,,1,now(),now()
anything,3,,1,now(),now()
both,3,,2,now(),now()
each,3,,1,now(),now()
either,3,,1,now(),now()
everybody,3,,1,now(),now()
everyone,3,,1,now(),now()
everything,3,,1,now(),now()
few,3,,2,now(),now()
many,3,,2,now(),now()
most,3,,3,now(),now()
neither,3,,1,now(),now()
no one,3,,1,now(),now()
nobody,3,,1,now(),now()
none,3,,3,now(),now()
nothing,3,,1,now(),now()
one,3,,1,now(),now()
several,3,,2,now(),now()
some,3,,3,now(),now()
somebody,3,,1,now(),now()
someone,3,,1,now(),now()
something,3,,1,now(),now()
that,1,2,4,now(),now()
these,2,,2,now(),now()
this,2,,1,now(),now()
those,2,,2,now(),now()
what,4,,4,now(),now()
which,1,4,4,now(),now()
whichever,1,,4,now(),now()
who,1,4,4,now(),now()
whoever,1,,4,now(),now()
whom,1,4,4,now(),now()
whomever,1,,4,now(),now()
whose,1,4,4,now(),now()
