word,type,number_id,createdAt,updatedAt
all,indefinite,3,now(),now()
any,indefinite,3,now(),now()
anybody,indefinite,1,now(),now()
anyone,indefinite,1,now(),now()
anything,indefinite,1,now(),now()
both,indefinite,2,now(),now()
each,indefinite,1,now(),now()
either,indefinite,1,now(),now()
everybody,indefinite,1,now(),now()
everyone,indefinite,1,now(),now()
everything,indefinite,1,now(),now()
few,indefinite,2,now(),now()
many,indefinite,2,now(),now()
most,indefinite,3,now(),now()
neither,indefinite,1,now(),now()
no one,indefinite,1,now(),now()
nobody,indefinite,1,now(),now()
none,indefinite,3,now(),now()
nothing,indefinite,1,now(),now()
one,indefinite,1,now(),now()
several,indefinite,2,now(),now()
some,indefinite,3,now(),now()
somebody,indefinite,1,now(),now()
someone,indefinite,1,now(),now()
something,indefinite,1,now(),now()
that,relative or demonstrative,4,now(),now()
these,demonstrative,2,now(),now()
this,demonstrative,1,now(),now()
those,demonstrative,2,now(),now()
what,interrogative,4,now(),now()
which,relative or interrogative,4,now(),now()
whichever,relative,4,now(),now()
who,relative or interrogative,4,now(),now()
whoever,relative,4,now(),now()
whom,relative or interrogative,4,now(),now()
whomever,relative,4,now(),now()
whose,relative or interrogative,4,now(),now()
