title,pos,value,description,createdAt,updatedAt
Get noun,noun,5,blah blah blah,now(),now()
Make singular,noun,5,,now(),now()
Make plural,noun,5,,now(),now()
Get verb,verb,5,,now(),now()
Make simple present tense,verb,5,,now(),now()
Make simple past tense,verb,5,,now(),now()
Make simple future tense,verb,5,,now(),now()
Make present continuous tense,verb,5,,now(),now()
Make past continuous tense,verb,5,,now(),now()
Make future continuous tense,verb,5,,now(),now()
Make present perfect tense,verb,5,,now(),now()
Make past perfect tense,verb,5,,now(),now()
Make future perfect tense,verb,5,,now(),now()
Make present perfect continuous tense,verb,5,,now(),now()
Make past perfect continuous tense,verb,5,,now(),now()
Make future perfect continuous tense,verb,5,,now(),now()
Get active,verb,5,,now(),now()
Get passive,verb,5,,now(),now()
Make passive,verb,5,,now(),now()
Make modal,verb,5,,now(),now()
Make comparative,adjective,5,,now(),now()
Make superlative,adjective,5,,now(),now()
Get type: quantity,adjective,5,,now(),now()
Get type: opinion,adjective,5,,now(),now()
Get type: personality,adjective,5,,now(),now()
Get type: sound,adjective,5,,now(),now()
Get type: taste,adjective,5,,now(),now()
Get type: touch,adjective,5,,now(),now()
Get type: size,adjective,5,,now(),now()
Get type: smell,adjective,5,,now(),now()
Get type: speed,adjective,5,,now(),now()
Get type: temperature,adjective,5,,now(),now()
Get type: age,adjective,5,,now(),now()
Get type: distance,adjective,5,,now(),now()
Get type: shape,adjective,5,,now(),now()
Get type: quality,adjective,5,,now(),now()
Get type: brightness,adjective,5,,now(),now()
Get type: color,adjective,5,,now(),now()
Get type: time,adjective,5,,now(),now()
Get type: origin,adjective,5,,now(),now()
Get type: material,adjective,5,,now(),now()
Get type: purpose,adjective,5,,now(),now()
Get type: temporal,adverb,5,,now(),now()
Get type: place,adverb,5,,now(),now()
Get type: manner,adverb,5,,now(),now()
Get type: degree,adverb,5,,now(),now()
Get type: frequency,adverb,5,,now(),now()
Make definite,article,5,,now(),now()
Get definite,article,5,,now(),now()
Make indefinite before vowel,article,5,,now(),now()
Make indefinite before consonant,article,5,,now(),now()
Get indefinite before vowel,article,5,,now(),now()
Get indefinite before consonant,article,5,,now(),now()
Make type: time,preposition,5,,now(),now()
Make type: place,preposition,5,,now(),now()
Make type: direction,preposition,5,,now(),now()
Make type: agent,preposition,5,,now(),now()
Make type: instrument,preposition,5,,now(),now()
Get preposition,preposition,5,,now(),now()
Make coordinating,conjunction,5,,now(),now()
Make subordinating,conjunction,5,,now(),now()
Make correlative,conjunction,5,,now(),now()
Get coordinating,conjunction,5,,now(),now()
Get subordinating,conjunction,5,,now(),now()
Get correlative,conjunction,5,,now(),now()
Make first person singular,pronoun,5,,now(),now()
Make second person singular,personal pronoun,5,,now(),now()
Make third person singular neuter,personal pronoun,5,,now(),now()
Make third person singular masculine,personal pronoun,5,,now(),now()
Make third person singular feminine,personal pronoun,5,,now(),now()
Make first person plural,personal pronoun,5,,now(),now()
Make second person plural,personal pronoun,5,,now(),now()
Make third person plural,personal pronoun,5,,now(),now()
Make objective,personal pronoun,5,,now(),now()
Make subjective,personal pronoun,5,,now(),now()
Make possessive attributive,personal pronoun,5,,now(),now()
Make possessive predicative,personal pronoun,5,,now(),now()
Make reflexive,personal pronoun,5,,now(),now()
Make indefinite,pronoun,5,,now(),now()
Make relative,pronoun,5,,now(),now()
Make demonstrative,pronoun,5,,now(),now()
Make interrogative,pronoun,5,,now(),now()
Get indefinite,pronoun,5,,now(),now()
Get relative,pronoun,5,,now(),now()
Get demonstrative,pronoun,5,,now(),now()
Get interrogative,pronoun,5,,now(),now()
Get interjection,interjection,5,,now(),now()
