word,is_aux,is_active,is_passive,tense_pres3ps,tense_past1ps,tense_past2ps,tense_past3ps,tense_past1pp,tense_past2pp,tense_past3pp,past_part,createAt,updatedAt
add,f,t,t,,,,,,,,,now(),now()
allow,f,t,t,,,,,,,,,now(),now()
appear,f,f,t,,,,,,,,,now(),now()
ask,f,t,t,,,,,,,,,now(),now()
become,f,t,t,,became,became,became,became,became,became,became,now(),now()
begin,f,t,t,,began,began,began,began,began,began,begun,now(),now()
believe,f,t,t,,,,,,,,,now(),now()
bring,f,t,f,,brought,brought,brought,brought,brought,brought,brought,now(),now()
build,f,t,t,,built,built,built,built,built,built,built,now(),now()
buy,f,t,t,,bought,bought,bought,bought,bought,bought,bought,now(),now()
call,f,t,t,,,,,,,,,now(),now()
change,f,t,t,,,,,,,,,now(),now()
chase,f,t,f,,,,,,,,,now(),now()
come,f,f,t,,came,came,came,came,came,came,come,now(),now()
consider,f,t,t,,,,,,,,,now(),now()
continue,f,t,t,,,,,,,,,now(),now()
cradle,f,t,t,,,,,,,,,now(),now()
create,f,t,t,,,,,,,,,now(),now()
cut,f,t,t,,cut,cut,cut,cut,cut,cut,cut,now(),now()
die,f,f,t,,,,,,,,,now(),now()
eat,f,t,t,,ate,ate,ate,ate,ate,ate,eaten,now(),now()
expect,f,t,f,,,,,,,,,now(),now()
fall,f,t,t,,fell,fell,fell,fell,fell,fell,fallen,now(),now()
feel,f,t,t,,felt,felt,felt,felt,felt,felt,felt,now(),now()
find,f,t,f,,found,found,found,found,found,found,found,now(),now()
follow,f,t,t,,,,,,,,,now(),now()
get,f,t,f,,got,got,got,got,got,got,gotten,now(),now()
give,f,t,t,,gave,gave,gave,gave,gave,gave,given,now(),now()
go,f,t,t,goes,went,went,went,went,went,went,gone,now(),now()
grow,f,t,t,,grew,grew,grew,grew,grew,grew,grown,now(),now()
happen,f,f,t,,,,,,,,,now(),now()
hear,f,t,t,,heard,heard,heard,heard,heard,heard,heard,now(),now()
help,f,t,t,,,,,,,,,now(),now()
hold,f,t,t,,held,held,held,held,held,held,held,now(),now()
include,f,t,f,,,,,,,,,now(),now()
keep,f,t,f,,kept,kept,kept,kept,kept,kept,kept,now(),now()
kill,f,t,t,,,,,,,,,now(),now()
know,f,t,t,,knew,knew,knew,knew,knew,knew,knew,now(),now()
lead,f,t,t,,led,led,led,led,led,led,led,now(),now()
learn,f,t,t,,,,,,,,,now(),now()
leave,f,t,t,,left,left,left,left,left,left,left,now(),now()
let,f,t,f,,let,let,let,let,let,let,let,now(),now()
like,f,t,t,,,,,,,,,now(),now()
live,f,f,t,,,,,,,,,now(),now()
look,f,f,t,,,,,,,,,now(),now()
lose,f,t,t,,lost,lost,lost,lost,lost,lost,lost,now(),now()
love,f,t,t,,,,,,,,,now(),now()
make,f,t,f,,made,made,made,made,made,made,made,now(),now()
mean,f,t,f,,meant,meant,meant,meant,meant,meant,meant,now(),now()
meet,f,t,t,,met,met,met,met,met,met,met,now(),now()
move,f,t,t,,,,,,,,,now(),now()
need,f,t,f,,,,,,,,,now(),now()
offer,f,t,t,,,,,,,,,now(),now()
open,f,t,t,,,,,,,,,now(),now()
pay,f,t,t,,paid,paid,paid,paid,paid,paid,paid,now(),now()
play,f,t,t,,,,,,,,,now(),now()
provide,f,t,t,,,,,,,,,now(),now()
put,f,t,f,,put,put,put,put,put,put,put,now(),now()
reach,f,t,t,,,,,,,,,now(),now()
read,f,t,t,,read,read,read,read,read,read,read,now(),now()
remain,f,f,t,,,,,,,,,now(),now()
remember,f,t,t,,,,,,,,,now(),now()
run,f,t,t,,ran,ran,ran,ran,ran,ran,ran,now(),now()
say,f,t,t,,said,said,said,said,said,said,said,now(),now()
see,f,t,t,,saw,saw,saw,saw,saw,saw,saw,now(),now()
seem,f,f,t,,,,,,,,,now(),now()
send,f,t,f,,sent,sent,sent,sent,sent,sent,sent,now(),now()
serve,f,t,t,,,,,,,,,now(),now()
set,f,t,t,,set,set,set,set,set,set,set,now(),now()
show,f,t,t,,showed,showed,showed,showed,showed,showed,shown,now(),now()
sit,f,f,t,,sat,sun,mon,tue,wed,thu,sat,now(),now()
speak,f,t,t,,spoke,spoke,spoke,spoke,spoke,spoke,spoken,now(),now()
spend,f,t,t,,spent,spent,spent,spent,spent,spent,spent,now(),now()
stand,f,t,t,,stood,stood,stood,stood,stood,stood,stood,now(),now()
start,f,t,t,,,,,,,,,now(),now()
stay,f,f,t,,,,,,,,,now(),now()
stop,f,t,t,,,,,,,,,now(),now()
take,f,t,f,,took,took,took,took,took,took,taken,now(),now()
talk,f,f,t,,,,,,,,,now(),now()
tell,f,t,f,,told,told,told,told,told,told,told,now(),now()
think,f,t,t,,thought,thought,thought,thought,thought,thought,thought,now(),now()
try,f,t,t,tries,tried,tried,tried,tried,tried,tried,tried,now(),now()
turn,f,t,t,,,,,,,,,now(),now()
understand,f,t,t,,understood,understood,understood,understood,understood,understood,understood,now(),now()
use,f,t,f,,,,,,,,,now(),now()
wait,f,f,t,,,,,,,,,now(),now()
walk,f,t,t,,,,,,,,,now(),now()
want,f,t,t,,,,,,,,,now(),now()
watch,f,t,t,,,,,,,,,now(),now()
win,f,t,t,,won,won,won,won,won,won,won,now(),now()
work,f,t,t,,,,,,,,,now(),now()
write,f,t,t,,wrote,wrote,wrote,wrote,wrote,wrote,wrote,now(),now()
be,t,f,t,is,was,were,was,were,were,were,been,now(),now()
can,t,f,f,can,could,could,could,could,could,could,f,now(),now()
do,t,t,t,does,did,did,did,did,did,did,done,now(),now()
have,t,t,t,has,had,had,had,had,had,had,had,now(),now()
may,t,f,f,may,might,might,might,might,might,might,f,now(),now()
might,t,f,f,might,f,f,f,f,f,f,f,now(),now()
must,t,f,t,must,f,f,f,f,f,f,f,now(),now()
ought,t,f,f,ought,f,f,f,f,f,f,f,now(),now()
shall,t,f,f,shall,f,f,f,f,f,f,f,now(),now()
should,t,f,f,should,f,f,f,f,f,f,f,now(),now()
will,t,f,t,will,would,would,would,would,would,would,would,now(),now()
